iter	Passed	Remaining
0	2	243
1	5	273
2	8	261
3	9	238
4	12	230
5	14	225
6	16	221
7	19	220
8	21	216
9	23	213
10	26	211
11	28	209
12	30	205
13	33	203
14	35	202
15	38	200
16	40	198
17	43	197
18	46	196
19	48	192
20	50	190
21	52	187
22	55	184
23	57	181
24	59	179
25	62	176
26	64	173
27	66	171
28	69	168
29	71	166
30	74	164
31	76	161
32	78	160
33	81	157
34	83	155
35	86	153
36	88	151
37	91	149
38	93	147
39	96	144
40	98	142
41	100	138
42	102	135
43	104	133
44	106	130
45	109	128
46	111	126
47	114	123
48	116	121
49	119	119
50	121	117
51	124	114
52	126	112
53	128	109
54	130	106
55	132	104
56	134	101
57	136	98
58	139	96
59	141	94
60	144	92
61	146	89
62	148	87
63	151	85
64	153	82
65	156	80
66	158	78
67	160	75
68	163	73
69	165	70
70	168	68
71	170	66
72	172	63
73	174	61
74	177	59
75	179	56
76	181	54
77	183	51
78	186	49
79	189	47
80	191	44
81	194	42
82	196	40
83	198	37
84	201	35
85	203	33
86	205	30
87	207	28
88	209	25
89	212	23
90	214	21
91	216	18
92	219	16
93	221	14
94	224	11
95	226	9
96	228	7
97	230	4
98	233	2
99	235	0
